log10(Mass)+10    log10(VelDisp_particles)
10.518942 1.708300
10.532702 1.727413
10.537378 1.699206
10.547145 1.731977
10.542697 1.709931
10.542866 1.709565
10.449429 1.679608
10.517963 1.708892
10.555083 1.765638
10.553100 1.729871
10.502530 1.851006
10.564393 1.714343
10.256660 1.641225
10.575455 1.754903
10.557271 1.724360
10.534480 1.702976
10.561801 1.737899
10.500600 1.690186
10.533756 1.724145
10.545399 1.707238
10.546252 1.730361
10.390218 2.232025
10.564596 1.739708
10.417687 1.712356
10.544319 1.718037
10.550368 1.721342
10.521755 1.700086
10.328990 1.650976
10.516296 1.725434
10.508939 1.712877
10.502031 1.695616
10.422488 1.662454
10.503201 1.748654
10.494546 1.712181
10.500146 1.702059
10.526912 1.767908
10.519936 1.696822
10.534845 1.770282
10.506197 1.694299
10.545297 1.734704
10.313058 1.660700
10.483867 1.713851
10.508368 1.704488
10.530008 1.724177
10.531039 1.724910
10.534774 1.757813
10.536776 1.715640
10.367152 1.644959
10.529065 1.762051
10.515332 1.767395
10.487674 1.758692
10.548597 1.744369
10.535785 1.718486
10.502451 1.716454
10.519299 1.721575
10.523132 1.707334
10.485009 1.710082
10.543484 1.724163
10.530649 1.825669
10.280096 1.638126
10.516339 1.728661
10.522887 1.726007
10.512649 1.745793
10.518537 1.720350
10.526371 1.706359
10.536096 1.740333
10.527172 1.720132
10.493156 1.929677
10.502321 1.722238
10.497218 1.701565
10.517828 1.711975
10.507171 1.701488
10.537624 1.740237
10.528581 1.738940
10.545895 1.732555
10.254107 1.650578
10.465178 1.678484
10.533767 1.736704
10.464869 1.687220
10.495260 1.729324
10.508551 1.722390
10.517062 1.702704
10.367762 1.719685
10.524325 1.705864
10.452980 1.670178
10.336737 1.630365
10.442061 2.156076
10.534032 1.735448
10.484891 1.710824
10.421809 1.724034
10.471222 1.778384
10.495081 1.714117
10.513674 1.734879
10.518001 1.720445
10.518508 1.717212
10.490492 1.699517
10.475411 1.687649
10.475370 1.686441
10.495533 1.711314
10.519035 1.731608
10.412406 1.673191
9.997347 1.991481
10.517083 1.731090
10.539251 1.750270
10.491472 1.698041
10.475631 1.701617
10.378573 1.649663
10.507482 1.720358
10.528695 1.750392
10.464467 1.680635
10.431940 1.799911
10.510315 1.711169
10.510197 1.786079
10.499702 1.711310
10.480441 1.709090
10.511561 1.727285
10.463895 1.680938
10.491643 1.705667
10.471928 1.693305
10.385931 1.750336
10.450900 1.700974
10.501506 1.710889
10.504314 1.700895
10.463910 1.708901
10.278988 1.645266
10.502023 1.709274
10.501103 1.702858
10.482842 1.715624
10.488486 1.707065
10.487097 1.695899
10.492344 1.693679
10.482296 1.699957
10.508664 1.758847
10.466695 1.696210
10.446282 1.725545
10.485047 1.697814
10.488183 1.791468
10.483450 1.694228
10.487580 1.707254
10.520167 1.736251
10.307198 1.811750
10.483203 1.695840
10.493439 1.712095
10.457421 1.698006
10.475293 1.693166
10.420164 1.690362
10.480291 1.723042
10.477883 1.698165
10.477675 1.829915
10.460146 1.697472
10.453779 1.694038
10.463438 1.671397
10.498200 1.731849
10.481259 1.709135
10.320370 1.729678
10.508721 1.710110
10.437907 1.687716
10.490093 1.696485
10.502589 1.735200
10.428340 2.001400
10.454072 2.039512
10.472712 1.701114
10.202599 1.616954
10.471949 1.831226
10.469331 1.707620
10.447714 1.689652
10.476818 1.706954
10.459060 1.697280
10.437556 1.677151
10.471309 1.683555
10.461666 1.695735
10.476833 1.702910
10.483918 1.682327
10.457188 1.690317
10.478224 1.701664
10.414066 1.643758
10.455822 1.699959
10.481944 1.709788
10.487419 1.774930
10.303563 1.773887
10.456584 1.694131
10.475611 1.687264
10.490771 1.716598
10.467627 1.679598
10.503903 1.738714
10.461766 1.686964
10.412487 1.661925
10.468896 1.704806
10.472926 1.710156
10.460277 1.701305
10.459702 1.687224
10.473710 1.702343
10.422518 1.664282
10.437534 1.788661
10.447911 1.697278
10.465404 1.683981
10.269498 1.620061
10.461328 2.092525
10.444002 1.672563
10.482869 1.706007
10.481004 1.721343
10.453245 1.689974
10.457633 1.699530
10.420556 1.676856
10.463312 1.709315
10.405575 1.726326
10.436182 1.679665
10.442436 1.738482
10.434055 1.674425
10.494862 1.743490
10.468708 1.695278
10.451517 1.697004
10.418365 1.684997
10.277722 1.668942
10.336884 1.645363
10.469532 1.722042
10.466966 1.737984
10.096665 1.638338
10.463699 1.699342
10.476397 1.740987
10.458323 1.676087
10.453332 1.723446
10.158187 1.602579
10.462030 1.700179
10.457424 1.703685
10.437161 1.693722
