mass M200 vel_disp group_number subhalo_number zform alpha
492.8583068847656 436.7800598144531 165.32948303222656 260.0 3050.0 0.9511347316251381 371.85680479379
503.18280029296875 379.1802978515625 157.97683715820312 261.0 3055.0 0.6901518370234379 361.4512986071204
497.8575134277344 436.6713562011719 170.09442138671875 262.0 3059.0 0.41840971036018587 580.7598164477861
481.0123291015625 388.0919494628906 156.40811157226562 263.0 3061.0 1.0057458761222675 195.29594662713902
432.6502685546875 306.9089050292969 141.21368408203125 264.0 3067.0 0.8109456466043606 460.97162538664656
444.3875732421875 318.6462097167969 145.75686645507812 265.0 3072.0 1.1468719341418787 441.70684346081583
446.235107421875 373.9637145996094 156.35853576660156 266.0 3078.0 1.305280505650353 204.75410832616643
486.8809814453125 367.33428955078125 158.34686279296875 267.0 3080.0 0.4291341121685135 561.1782360936376
481.5556945800781 391.8957214355469 163.0467071533203 268.0 3084.0 0.94427022622336 232.84082074826074
377.87615966796875 284.6297607421875 136.848388671875 269.0 3089.0 0.7296893186927851 158.88766624501292
293.5414123535156 202.14254760742188 127.87303161621094 270.0 3093.0 1.2382806662953403 296.264185156127
449.6041564941406 402.11151123046875 154.79632568359375 271.0 3097.0 1.2183976986009362 262.1268272517849
472.7527160644531 359.8354797363281 156.11488342285156 272.0 3103.0 0.6777889263370767 406.5867840037665
486.01153564453125 393.9606018066406 159.95265197753906 273.0 3109.0 1.703118420658742 160.8895381366036
453.1905517578125 385.26629638671875 157.49185180664062 274.0 3110.0 0.2859298881590182 769.7290922542505
444.0615234375 383.0927429199219 155.5991973876953 275.0 3114.0 0.9810875177085583 249.86641546877726
478.6213684082031 407.21942138671875 171.10081481933594 276.0 3117.0 1.3091711612832784 290.454777953114
446.8871765136719 330.3835144042969 146.2256622314453 277.0 3119.0 0.8092815574602283 250.5388887088365
282.3475036621094 223.3349151611328 129.3671875 278.0 3124.0 0.8282731741997661 204.2382626174188
